0	1	2
PTF1A	A4GALT	1.0
PURA	A4GALT	1.0
RARA	A4GALT	1.0
RARG	A4GALT	1.0
RREB1	A4GALT	1.0
SOX15	A4GALT	1.0
SP8	A4GALT	1.0
STAT2	A4GALT	1.0
TBX4	A4GALT	1.0
TLX2	A4GALT	1.0
TOPORS	A4GALT	1.0
ZFX	A4GALT	1.0
ZIC2	A4GALT	1.0
ZNF263	A4GALT	1.0
GFI1	A4GNT	1.0
HNF1A	A4GNT	1.0
MGA	A4GNT	1.0
MYF5	A4GNT	1.0
NR5A2	A4GNT	1.0
PPARD	A4GNT	1.0
STAT6	A4GNT	1.0
TCF7	A4GNT	1.0
ZEB1	A4GNT	1.0
ARID3A	AAAS	1.0
BPTF	AAAS	1.0
CBFB	AAAS	1.0
CEBPB	AAAS	1.0
CTCF	AAAS	1.0
CTCFL	AAAS	1.0
DMRTC2	AAAS	1.0
ESRRA	AAAS	1.0
FEV	AAAS	1.0
FOS	AAAS	1.0
FOSL2	AAAS	1.0
FOXA2	AAAS	1.0
FOXD3	AAAS	1.0
FOXG1	AAAS	1.0
FOXP1	AAAS	1.0
FOXP4	AAAS	1.0
FUBP1	AAAS	1.0
GABPA	AAAS	1.0
GSX2	AAAS	1.0
HAND2	AAAS	1.0
HNF4G	AAAS	1.0
HOXB1	AAAS	1.0
ID4	AAAS	1.0
IRF3	AAAS	1.0
IRF5	AAAS	1.0
JUNB	AAAS	1.0
KLF1	AAAS	1.0
KLF15	AAAS	1.0
LEF1	AAAS	1.0
MAZ	AAAS	1.0
MBD2	AAAS	1.0
MEF2B	AAAS	1.0
MEF2C	AAAS	1.0
MEF2D	AAAS	1.0
MESP1	AAAS	1.0
NFAT5	AAAS	1.0
NFATC3	AAAS	1.0
NFATC4	AAAS	1.0
NFE2	AAAS	1.0
NKX2-2	AAAS	1.0
NR0B1	AAAS	1.0
NR1I3	AAAS	1.0
NR2E3	AAAS	1.0
NR2F6	AAAS	1.0
ONECUT2	AAAS	1.0
PAX4	AAAS	1.0
PITX2	AAAS	1.0
POU1F1	AAAS	1.0
POU2F2	AAAS	1.0
POU2F3	AAAS	1.0
POU3F1	AAAS	1.0
POU3F3	AAAS	1.0
POU3F4	AAAS	1.0
POU6F1	AAAS	1.0
PTF1A	AAAS	1.0
PURA	AAAS	1.0
RORC	AAAS	1.0
RUNX1	AAAS	1.0
SMARCC1	AAAS	1.0
SP1	AAAS	1.0
SP3	AAAS	1.0
SPI1	AAAS	1.0
SPIB	AAAS	1.0
STAT2	AAAS	1.0
TAL1	AAAS	1.0
TCF12	AAAS	1.0
TCF3	AAAS	1.0
TCF7L2	AAAS	1.0
TFAP2B	AAAS	1.0
TFAP2C	AAAS	1.0
THRA	AAAS	1.0
TOPORS	AAAS	1.0
TWIST1	AAAS	1.0
WT1	AAAS	1.0
ZBTB47	AAAS	1.0
ZBTB7B	AAAS	1.0
ZEB1	AAAS	1.0
ZNF148	AAAS	1.0
ZNF219	AAAS	1.0
ZNF263	AAAS	1.0
ZNF274	AAAS	1.0
ZNF281	AAAS	1.0
ZNF333	AAAS	1.0
ZNF35	AAAS	1.0
ZNF713	AAAS	1.0
ZNF75A	AAAS	1.0
AIRE	AACS	1.0
ALX1	AACS	1.0
ALX3	AACS	1.0
ALX4	AACS	1.0
AR	AACS	1.0
ARX	AACS	1.0
ATF5	AACS	1.0
BATF	AACS	1.0
BCL11A	AACS	1.0
BHLHE41	AACS	1.0
BPTF	AACS	1.0
CBFB	AACS	1.0
CTCFL	AACS	1.0
DLX3	AACS	1.0
DLX6	AACS	1.0
DMRT2	AACS	1.0
DRGX	AACS	1.0
E2F7	AACS	1.0
EMX1	AACS	1.0
EMX2	AACS	1.0
EN2	AACS	1.0
ESRRA	AACS	1.0
ESRRB	AACS	1.0
ESRRG	AACS	1.0
ESX1	AACS	1.0
ETS2	AACS	1.0
FEV	AACS	1.0
FOXA2	AACS	1.0
FOXA3	AACS	1.0
FOXB1	AACS	1.0
FOXD3	AACS	1.0
FOXF1	AACS	1.0
FOXH1	AACS	1.0
FOXI1	AACS	1.0
FOXJ2	AACS	1.0
FOXJ3	AACS	1.0
FOXL1	AACS	1.0
FOXM1	AACS	1.0
FOXP1	AACS	1.0
FOXP2	AACS	1.0
FOXP4	AACS	1.0
FOXQ1	AACS	1.0
FUBP1	AACS	1.0
GBX1	AACS	1.0
GLI1	AACS	1.0
GLI2	AACS	1.0
GLI3	AACS	1.0
GSX1	AACS	1.0
GSX2	AACS	1.0
HEY2	AACS	1.0
HEYL	AACS	1.0
HIVEP1	AACS	1.0
HIVEP2	AACS	1.0
HMBOX1	AACS	1.0
HNF1B	AACS	1.0
HOXA1	AACS	1.0
HOXA2	AACS	1.0
HOXA5	AACS	1.0
HOXA9	AACS	1.0
HOXB1	AACS	1.0
HOXB2	AACS	1.0
HOXB3	AACS	1.0
HOXB5	AACS	1.0
HOXB6	AACS	1.0
HOXB8	AACS	1.0
HOXC6	AACS	1.0
HOXD10	AACS	1.0
HOXD8	AACS	1.0
HSF2	AACS	1.0
HSF4	AACS	1.0
INSM1	AACS	1.0
IRF1	AACS	1.0
IRF5	AACS	1.0
IRX1	AACS	1.0
ISX	AACS	1.0
KLF1	AACS	1.0
KLF15	AACS	1.0
KLF16	AACS	1.0
KLF2	AACS	1.0
KLF4	AACS	1.0
KLF5	AACS	1.0
LBX1	AACS	1.0
LHX1	AACS	1.0
LHX2	AACS	1.0
LHX3	AACS	1.0
LMO2	AACS	1.0
LMX1A	AACS	1.0
LMX1B	AACS	1.0
MAFB	AACS	1.0
MAZ	AACS	1.0
MEF2B	AACS	1.0
MEF2C	AACS	1.0
MEF2D	AACS	1.0
MEIS1	AACS	1.0
MIXL1	AACS	1.0
MYB	AACS	1.0
MYOG	AACS	1.0
NFAT5	AACS	1.0
